Ni,Ni - Nav,Ni-Nav/sig,Ni-Nav/sig rounded
1,-0.37,-0.32,-0.5
0,-1.37,-1.17,-1.0
2,0.63,0.54,0.5
4,2.63,2.25,2.0
3,1.63,1.39,1.5
1,-0.37,-0.32,-0.5
1,-0.37,-0.32,-0.5
1,-0.37,-0.32,-0.5
0,-1.37,-1.17,-1.0
0,-1.37,-1.17,-1.0
1,-0.37,-0.32,-0.5
2,0.63,0.54,0.5
0,-1.37,-1.17,-1.0
1,-0.37,-0.32,-0.5
3,1.63,1.39,1.5
2,0.63,0.54,0.5
0,-1.37,-1.17,-1.0
3,1.63,1.39,1.5
2,0.63,0.54,0.5
2,0.63,0.54,0.5
0,-1.37,-1.17,-1.0
2,0.63,0.54,0.5
1,-0.37,-0.32,-0.5
1,-0.37,-0.32,-0.5
0,-1.37,-1.17,-1.0
2,0.63,0.54,0.5
0,-1.37,-1.17,-1.0
1,-0.37,-0.32,-0.5
1,-0.37,-0.32,-0.5
1,-0.37,-0.32,-0.5
0,-1.37,-1.17,-1.0
2,0.63,0.54,0.5
1,-0.37,-0.32,-0.5
2,0.63,0.54,0.5
3,1.63,1.39,1.5
1,-0.37,-0.32,-0.5
1,-0.37,-0.32,-0.5
0,-1.37,-1.17,-1.0
2,0.63,0.54,0.5
1,-0.37,-0.32,-0.5
3,1.63,1.39,1.5
2,0.63,0.54,0.5
2,0.63,0.54,0.5
0,-1.37,-1.17,-1.0
0,-1.37,-1.17,-1.0
2,0.63,0.54,0.5
2,0.63,0.54,0.5
0,-1.37,-1.17,-1.0
0,-1.37,-1.17,-1.0
1,-0.37,-0.32,-0.5
2,0.63,0.54,0.5
0,-1.37,-1.17,-1.0
2,0.63,0.54,0.5
1,-0.37,-0.32,-0.5
4,2.63,2.25,2.0
3,1.63,1.39,1.5
1,-0.37,-0.32,-0.5
1,-0.37,-0.32,-0.5
3,1.63,1.39,1.5
1,-0.37,-0.32,-0.5
1,-0.37,-0.32,-0.5
0,-1.37,-1.17,-1.0
0,-1.37,-1.17,-1.0
2,0.63,0.54,0.5
2,0.63,0.54,0.5
2,0.63,0.54,0.5
1,-0.37,-0.32,-0.5
0,-1.37,-1.17,-1.0
0,-1.37,-1.17,-1.0
0,-1.37,-1.17,-1.0
1,-0.37,-0.32,-0.5
1,-0.37,-0.32,-0.5
1,-0.37,-0.32,-0.5
0,-1.37,-1.17,-1.0
2,0.63,0.54,0.5
2,0.63,0.54,0.5
1,-0.37,-0.32,-0.5
0,-1.37,-1.17,-1.0
0,-1.37,-1.17,-1.0
1,-0.37,-0.32,-0.5
2,0.63,0.54,0.5
1,-0.37,-0.32,-0.5
3,1.63,1.39,1.5
4,2.63,2.25,2.0
1,-0.37,-0.32,-0.5
